Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,09/08/2024 20:15,Estádio José Alvalade,Sporting CP,Rio Ave FC,3 - 1
2,1,10/08/2024 15:30,Estádio do Clube Desportivo das Aves,AFS,CD Nacional,1 - 1
3,1,10/08/2024 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,Boavista FC,0 - 1
4,1,10/08/2024 20:30,Estádio do Dragão,FC Porto,Gil Vicente FC,3 - 0
5,1,11/08/2024 15:30,Estádio António Coimbra da Mota,Estoril Praia,Santa Clara,1 - 4
6,1,11/08/2024 18:00,Estádio de São Luís,SC Farense,Moreirense FC,1 - 2
7,1,11/08/2024 18:00,Estádio Municipal de Famalicão,FC Famalicão,SL Benfica,2 - 0
8,1,11/08/2024 20:30,Estádio Municipal de Braga,SC Braga,Estrela Amadora,1 - 1
9,1,12/08/2024 20:15,Estádio Municipal de Arouca,FC Arouca,Vitória SC,0 - 1
10,2,16/08/2024 17:00,Estádio de São Miguel,Santa Clara,FC Porto,0 - 2
11,2,16/08/2024 20:15,Estádio Cidade de Barcelos,Gil Vicente FC,AFS,4 - 2
12,2,17/08/2024 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,SC Farense,1 - 0
13,2,17/08/2024 18:00,Estádio da Madeira,CD Nacional,Sporting CP,1 - 6
14,2,17/08/2024 20:30,Estádio do Sport Lisboa e Benfica,SL Benfica,Casa Pia AC,3 - 0
15,2,18/08/2024 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,FC Arouca,3 - 1
16,2,18/08/2024 18:00,Estádio D. Afonso Henriques,Vitória SC,Estoril Praia,1 - 0
17,2,18/08/2024 20:30,Estádio do Bessa Sec. XXI,Boavista FC,SC Braga,0 - 1
18,2,19/08/2024 20:15,Estádio José Gomes,Estrela Amadora,FC Famalicão,0 - 3
19,3,23/08/2024 20:15,Estádio de São Luís,SC Farense,Sporting CP,0 - 5
20,3,24/08/2024 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Santa Clara,0 - 2
21,3,24/08/2024 18:00,Estádio do Dragão,FC Porto,Rio Ave FC,2 - 0
22,3,24/08/2024 20:30,Estádio do Sport Lisboa e Benfica,SL Benfica,Estrela Amadora,1 - 0
23,3,24/08/2024 20:30,Estádio Municipal de Famalicão,FC Famalicão,Boavista FC,1 - 0
24,3,25/08/2024 15:30,Estádio Municipal de Arouca,FC Arouca,CD Nacional,1 - 0
25,3,25/08/2024 18:00,Estádio António Coimbra da Mota,Estoril Praia,Gil Vicente FC,0 - 0
26,3,25/08/2024 20:30,Estádio Municipal de Braga,SC Braga,Moreirense FC,3 - 1
27,3,25/08/2024 20:30,Estádio do Clube Desportivo das Aves,AFS,Vitória SC,1 - 0
28,4,30/08/2024 20:15,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,SL Benfica,1 - 1
29,4,31/08/2024 17:00,Estádio de São Miguel,Santa Clara,AFS,2 - 1
30,4,31/08/2024 18:00,Estádio do Bessa Sec. XXI,Boavista FC,Estoril Praia,0 - 0
36,4,31/08/2024 18:00,Estádio José Gomes,Estrela Amadora,Casa Pia AC,0 - 1
31,4,31/08/2024 20:30,Estádio José Alvalade,Sporting CP,FC Porto,2 - 0
33,4,01/09/2024 15:30,Estádio da Madeira,CD Nacional,SC Farense,2 - 0
32,4,01/09/2024 18:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,FC Arouca,1 - 0
34,4,01/09/2024 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,SC Braga,0 - 0
35,4,01/09/2024 20:30,Estádio D. Afonso Henriques,Vitória SC,FC Famalicão,2 - 1
39,5,13/09/2024 20:15,Estádio Municipal de Arouca,FC Arouca,Sporting CP,0 - 3
40,5,14/09/2024 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Moreirense FC,3 - 1
43,5,14/09/2024 18:00,Estádio do Clube Desportivo das Aves,AFS,Rio Ave FC,1 - 0
37,5,14/09/2024 20:30,Estádio do Sport Lisboa e Benfica,SL Benfica,Santa Clara,4 - 1
42,5,14/09/2024 20:30,Estádio Municipal de Famalicão,FC Famalicão,Gil Vicente FC,1 - 1
45,5,15/09/2024 15:30,Estádio do Dragão,FC Porto,SC Farense,2 - 1
41,5,15/09/2024 18:00,Estádio António Coimbra da Mota,Estoril Praia,CD Nacional,1 - 0
38,5,15/09/2024 20:30,Estádio Municipal de Braga,SC Braga,Vitória SC,0 - 2
44,5,16/09/2024 20:15,Estádio José Gomes,Estrela Amadora,Boavista FC,2 - 2
49,6,20/09/2024 20:15,Estádio da Madeira,CD Nacional,SC Braga,0 - 3
46,6,21/09/2024 15:30,Estádio de São Miguel,Santa Clara,Estrela Amadora,1 - 0
52,6,21/09/2024 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Estoril Praia,2 - 2
47,6,21/09/2024 18:00,Estádio D. Afonso Henriques,Vitória SC,FC Porto,0 - 3
53,6,21/09/2024 20:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,FC Famalicão,0 - 0
51,6,22/09/2024 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,Casa Pia AC,1 - 1
50,6,22/09/2024 18:00,Estádio de São Luís,SC Farense,FC Arouca,0 - 1
54,6,22/09/2024 20:30,Estádio José Alvalade,Sporting CP,AFS,3 - 0
48,6,23/09/2024 20:15,Estádio do Bessa Sec. XXI,Boavista FC,SL Benfica,0 - 3
59,7,27/09/2024 20:15,Estádio António Coimbra da Mota,Estoril Praia,Sporting CP,0 - 3
60,7,28/09/2024 15:30,Estádio José Gomes,Estrela Amadora,Moreirense FC,2 - 1
58,7,28/09/2024 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,Vitória SC,1 - 1
56,7,28/09/2024 20:30,Estádio do Sport Lisboa e Benfica,SL Benfica,Gil Vicente FC,5 - 1
61,7,29/09/2024 15:30,Estádio Municipal de Famalicão,FC Famalicão,CD Nacional,0 - 0
63,7,29/09/2024 18:00,Estádio do Dragão,FC Porto,FC Arouca,4 - 0
55,7,29/09/2024 20:30,Estádio de São Miguel,Santa Clara,Boavista FC,1 - 0
57,7,29/09/2024 20:30,Estádio Municipal de Braga,SC Braga,Rio Ave FC,4 - 0
62,7,30/09/2024 20:15,Estádio do Clube Desportivo das Aves,AFS,SC Farense,0 - 0
71,8,04/10/2024 20:15,Estádio do Rio Ave Futebol Clube,Rio Ave FC,FC Famalicão,1 - 1
70,8,05/10/2024 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,Estrela Amadora,3 - 0
72,8,05/10/2024 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Santa Clara,1 - 0
64,8,05/10/2024 18:00,Estádio Municipal de Arouca,FC Arouca,AFS,1 - 1
68,8,05/10/2024 20:30,Estádio José Alvalade,Sporting CP,Casa Pia AC,2 - 0
67,8,06/10/2024 15:30,Estádio D. Afonso Henriques,Vitória SC,Boavista FC,2 - 2
69,8,06/10/2024 15:30,Estádio de São Luís,SC Farense,Estoril Praia,1 - 0
66,8,06/10/2024 20:30,Estádio do Dragão,FC Porto,SC Braga,2 - 1
65,8,19/12/2024 17:00,Estádio da Madeira,CD Nacional,SL Benfica,0 - 2
77,9,25/10/2024 18:45,Estádio Municipal de Rio Maior,Casa Pia AC,CD Nacional,1 - 0
73,9,25/10/2024 20:45,Estádio de São Miguel,Santa Clara,Gil Vicente FC,2 - 1
81,9,26/10/2024 15:30,Estádio António Coimbra da Mota,Estoril Praia,FC Arouca,4 - 1
76,9,26/10/2024 18:00,Estádio do Bessa Sec. XXI,Boavista FC,Moreirense FC,0 - 2
79,9,26/10/2024 20:30,Estádio Municipal de Famalicão,FC Famalicão,Sporting CP,0 - 3
75,9,27/10/2024 15:30,Estádio Municipal de Braga,SC Braga,SC Farense,2 - 0
74,9,27/10/2024 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Rio Ave FC,5 - 0
78,9,27/10/2024 20:30,Estádio José Gomes,Estrela Amadora,Vitória SC,2 - 2
80,9,28/10/2024 20:15,Estádio do Clube Desportivo das Aves,AFS,FC Porto,0 - 5
89,10,01/11/2024 20:15,Estádio José Alvalade,Sporting CP,Estrela Amadora,5 - 1
87,10,02/11/2024 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Casa Pia AC,2 - 2
85,10,02/11/2024 18:00,Estádio de São Luís,SC Farense,SL Benfica,1 - 2
86,10,02/11/2024 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,Boavista FC,1 - 2
84,10,03/11/2024 15:30,Estádio do Clube Desportivo das Aves,AFS,FC Famalicão,2 - 3
82,10,03/11/2024 18:00,Estádio Municipal de Arouca,FC Arouca,SC Braga,1 - 2
83,10,03/11/2024 18:00,Estádio D. Afonso Henriques,Vitória SC,Moreirense FC,1 - 0
88,10,03/11/2024 20:30,Estádio do Dragão,FC Porto,Estoril Praia,4 - 0
90,10,04/11/2024 20:15,Estádio da Madeira,CD Nacional,Santa Clara,2 - 0
98,11,08/11/2024 20:15,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Gil Vicente FC,3 - 2
95,11,09/11/2024 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,SC Farense,1 - 1
99,11,09/11/2024 15:30,Estádio António Coimbra da Mota,Estoril Praia,AFS,0 - 0
97,11,09/11/2024 18:00,Estádio Municipal de Famalicão,FC Famalicão,FC Arouca,0 - 0
94,11,09/11/2024 20:30,Estádio do Bessa Sec. XXI,Boavista FC,Rio Ave FC,0 - 2
96,11,10/11/2024 15:30,Estádio José Gomes,Estrela Amadora,CD Nacional,2 - 0
91,11,10/11/2024 16:30,Estádio de São Miguel,Santa Clara,Vitória SC,1 - 0
93,11,10/11/2024 18:45,Estádio Municipal de Braga,SC Braga,Sporting CP,2 - 4
92,11,10/11/2024 20:45,Estádio do Sport Lisboa e Benfica,SL Benfica,FC Porto,4 - 1
106,12,29/11/2024 20:15,Estádio de São Luís,SC Farense,Estrela Amadora,1 - 0
107,12,30/11/2024 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Moreirense FC,3 - 2
104,12,30/11/2024 18:00,Estádio da Madeira,CD Nacional,Boavista FC,0 - 0
108,12,30/11/2024 20:30,Estádio José Alvalade,Sporting CP,Santa Clara,0 - 1
102,12,01/12/2024 15:30,Estádio António Coimbra da Mota,Estoril Praia,FC Famalicão,2 - 1
100,12,01/12/2024 18:00,Estádio Municipal de Arouca,FC Arouca,SL Benfica,0 - 2
103,12,01/12/2024 20:30,Estádio do Clube Desportivo das Aves,AFS,SC Braga,0 - 1
101,12,02/12/2024 18:45,Estádio D. Afonso Henriques,Vitória SC,Gil Vicente FC,4 - 0
105,12,02/12/2024 20:45,Estádio do Dragão,FC Porto,Casa Pia AC,2 - 0
114,13,05/12/2024 20:15,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Sporting CP,2 - 1
111,13,06/12/2024 20:15,Estádio Municipal de Braga,SC Braga,Estoril Praia,2 - 2
113,13,07/12/2024 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,CD Nacional,2 - 1
109,13,07/12/2024 18:00,Estádio de São Miguel,Santa Clara,Rio Ave FC,1 - 0
110,13,07/12/2024 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Vitória SC,1 - 0
115,13,07/12/2024 20:30,Estádio Municipal de Famalicão,FC Famalicão,FC Porto,1 - 1
112,13,08/12/2024 15:30,Estádio do Bessa Sec. XXI,Boavista FC,SC Farense,1 - 1
117,13,08/12/2024 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,AFS,1 - 1
116,13,09/12/2024 20:15,Estádio José Gomes,Estrela Amadora,FC Arouca,2 - 1
120,14,14/12/2024 15:30,Estádio de São Luís,SC Farense,Gil Vicente FC,0 - 1
126,14,14/12/2024 18:00,Estádio da Madeira,CD Nacional,Moreirense FC,1 - 0
123,14,14/12/2024 20:30,Estádio José Alvalade,Sporting CP,Boavista FC,3 - 2
119,14,15/12/2024 15:30,Estádio Municipal de Arouca,FC Arouca,Santa Clara,1 - 0
121,14,15/12/2024 18:00,Estádio do Clube Desportivo das Aves,AFS,SL Benfica,1 - 1
124,14,15/12/2024 20:30,Estádio António Coimbra da Mota,Estoril Praia,Casa Pia AC,0 - 2
118,14,16/12/2024 18:45,Estádio Municipal de Braga,SC Braga,FC Famalicão,3 - 3
125,14,16/12/2024 20:15,Estádio do Dragão,FC Porto,Estrela Amadora,2 - 0
122,14,16/12/2024 20:45,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Vitória SC,2 - 2
134,15,20/12/2024 20:15,Estádio Municipal de Rio Maior,Casa Pia AC,FC Arouca,3 - 1
